Artist,Title,Format,Cover Present,Label,Catogue Number,Year Released,Country,Notes,Sealed Status,discogs URL, Median Price ,discogs_release_id,,
"Ayers, Kevin",Bananamour,CD,Yes,Water,water188,2006,Belgium,Reissue,No,https://www.discogs.com/release/4220073-Kevin-Ayers-Joy-Of-A-Toy, $6.00 ,4220073,,4220073
"Ayers, Kevin",Bananamour,"7"" Vinyl",Yes,Tabata,TB SP 003,1992,Belgium,,No,https://www.discogs.com/release/4672800-Kevin-Ayers-Thank-You-Very-Much, $6.00 ,4672800,,4672800
"Ayers, Kevin",Bananamour,"7"" Vinyl",N/A,Illuminated Records,LEV 71,1986,Belgium,,No,https://www.discogs.com/release/3646113-Kevin-Ayers-Stepping-Out, $6.16 ,3646113,,3646113
"Ayers, Kevin",Bananamour,"12"" Vinyl",Yes,ABC Records,AB 1021,1977,Belgium,,No,https://www.discogs.com/release/417129-Kevin-Ayers-Yes-We-Have-No-Mañanas-So-Get-Your-Mañanas-Today, $6.20 ,417129,,417129
"Ayers, Kevin",Bananamour,"12"" Vinyl",Yes,ABC Records,AB 1021,1977,Belgium,,No,https://www.discogs.com/release/417129-Kevin-Ayers-Yes-We-Have-No-Mañanas-So-Get-Your-Mañanas-Today, $6.20 ,417129,,417129
"Ayers, Kevin",Bananamour,"12"" Vinyl",Yes,ABC Records,AB 1021,1977,Belgium,,No,https://www.discogs.com/release/417129-Kevin-Ayers-Yes-We-Have-No-Mañanas-So-Get-Your-Mañanas-Today, $6.20 ,417129,,417129
"Ayers, Kevin",Bananamour,Cassette,Yes,Island Records,ZC1 9322,1975,Belgium,Black cassette with pink paper labels,No,https://www.discogs.com/release/11169549-Kevin-Ayers-Sweet-Deceiver, $6.32 ,11169549,,11169549
"Ayers, Kevin",Bananamour,"7"" Vinyl",N/A,Harvest,HAR 5071,1973,Brazil,Stock Copy,No,https://www.discogs.com/release/10546926-Kevin-Ayers-Caribbean-Moon, $6.33 ,10546926,,10546926
"Ayers, Kevin",BBC Radio 1 Live In Concert,"7"" Vinyl",N/A,Harvest,HAR 5071,1973,Brazil,Stock Copy,No,https://www.discogs.com/release/10546926-Kevin-Ayers-Caribbean-Moon, $6.33 ,10546926,,10546926
"Ayers, Kevin",BBC Radio 1 Live In Concert,"7"" Vinyl",Yes,Harvest,5C 006-98 159,1976,Brazil,Stock Copy,No,https://www.discogs.com/release/3407822-Kevin-Ayers-Falling-In-Love-Again-The-Owl, $6.33 ,3407822,,3407822
"Ayers, Kevin",BBC Sessions 1970-1972,CD,Yes,BGO Records,BGOCD11,1993,Brazil,,No,https://www.discogs.com/release/1248166-Kevin-Ayers-Whatevershebringswesing, $6.41 ,1248166,,1248166
"Ayers, Kevin",Butterfly Dance,"12"" Vinyl",Yes,BGO Records,BGOCD86,1990,Brazil,,No,https://www.discogs.com/release/10957189-Kevin-Ayers-The-Confessions-Of-Dr-Dream-And-Other-Stories, $6.84 ,10957189,,10957189
"Ayers, Kevin",Butterfly Dance,CD,Yes,Strange Fruit,SFRSCD 017,1997,Brazil,,No,https://www.discogs.com/release/1900940-Kevin-Ayers-First-Show-In-The-Appearance-Business-The-BBC-Sessions-1973-76, $6.92 ,1900940,,1900940
"Ayers, Kevin",Butterfly Dance,"7"" Vinyl",Yes,Charly Records,CHARLYS169,2017,Brazil,Colored Vinyl (Champagne) RSD 2017,No,https://www.discogs.com/release/10230080-Kevin-Ayers-Champagne-And-Valium-My-Speeding-Heart, $6.96 ,10230080,,10230080
"Ayers, Kevin",Caribbean Moon,"7"" Vinyl",N/A,Harvest,HAR 5100,1975,Brazil,Stock Copy - reissue,No,https://www.discogs.com/release/5837915-Kevin-Ayers-Caribbean-Moon, $6.99 ,5837915,,5837915
"Ayers, Kevin",Caribbean Moon,CD,Yes,See For Miles Records Lts.,SEE CD 117,1990,Brazil,Compilation,No,https://www.discogs.com/release/1755917-Kevin-Ayers-The-Kevin-Ayers-Collection, $7.07 ,1755917,,1755917
